model,stdev
original,1.0046736
original,0.9871971
original,0.65233517
original,0.5857785
original,0.6683599
original,0.46960437
original,0.94529086
original,0.80425125
original,0.589562
original,0.6866771
original,0.36827224
original,0.4877149
original,0.5776653
original,1.0149719
original,0.99447197
original,0.5930836
original,0.4461121
original,1.1493983
original,0.53371376
original,0.5568078
original,0.81212664
original,0.6610162
original,0.4613028
original,1.4333173
original,0.75689775
original,0.73479253
original,0.9679944
original,0.5240689
original,0.784475
original,0.6438763
original,0.30829906
original,0.84282446
original,0.74053705
original,0.43104264
original,0.41638377
original,0.5703131
original,0.52119505
original,0.36686277
original,0.56718946
original,0.58605534
original,1.1258329
original,0.38861418
original,0.761295
original,0.4916937
original,0.4909378
original,0.9583613
original,0.8057068
original,0.49137503
original,1.0139421
original,0.8968974
original,0.85444856
original,0.89232045
original,0.8853797
original,0.34624374
original,0.88016164
original,1.0137184
original,0.51493037
original,0.6679551
original,0.7799447
original,0.7322177
original,1.0620657
original,0.4077127
original,0.6694681
original,0.87371314
original,0.5850161
original,0.49030042
original,1.3774381
original,0.5972437
original,0.60625726
original,0.88826793
original,0.90133697
original,0.49289224
original,0.91223973
original,0.7835561
original,0.7166389
original,0.46141076
original,0.45020935
original,0.8729105
original,0.89999026
original,0.89685017
original,0.8259004
original,0.98512644
original,0.4670798
original,1.0325781
original,0.64469993
original,0.87672883
original,0.744463
original,0.51431
original,0.902053
original,0.9023144
original,0.49736533
original,0.70018935
original,0.78833115
original,0.65685666
original,1.0041245
original,0.28203538
original,0.7255534
original,0.8783436
original,0.61770004
original,0.5413638
original,0.40590963
original,0.49722543
original,0.642562
original,0.8026583
original,0.9370652
original,0.7398686
original,0.81339514
original,0.61918765
original,0.94836456
original,0.81814724
original,0.36185288
original,0.6910935
original,0.45075735
original,0.66726315
original,0.64191514
original,1.0825872
original,0.9969939
original,0.662406
original,0.45971504
original,0.3687476
original,0.8737427
original,0.85567254
original,1.3116052
original,1.1664002
original,0.5201316
original,0.39429983
original,0.8601557
original,0.78397906
original,0.32959956
original,0.68675756
original,0.77130985
original,0.73958087
original,0.7982225
original,0.39329535
original,0.46249992
original,0.93866676
original,0.65014005
original,0.8312055
original,0.87188894
original,0.4831218
original,0.48940575
original,1.0425471
original,0.7656623
original,0.6432483
original,0.43937954
original,0.983687
original,0.7908103
original,1.0870667
original,1.1727908
original,0.28907698
original,0.77809733
original,0.5392116
original,0.70103484
original,1.2114694
original,0.76299787
original,0.65570855
original,0.7140705
original,0.63885456
original,0.514463
original,0.6517582
original,1.0500047
original,1.45386
original,0.99893844
original,0.4315817
original,0.7425854
original,0.5615026
original,0.46077943
original,0.58245116
original,0.55138314
original,0.530656
original,0.50101936
original,0.9151494
original,0.7761043
original,0.5406511
original,0.75651026
original,0.6141005
original,0.41093653
original,0.8432255
original,0.744203
original,0.4591861
original,0.8694677
original,0.54776853
original,0.38830936
original,0.8520944
original,1.1779174
original,0.7675212
original,0.52686334
original,0.43391556
original,0.7153577
original,0.61441076
original,0.53314936
original,1.0185225
original,0.616325
original,0.8867027
original,0.49720022
original,0.65333605
original,0.8726253
original,0.8472319
original,0.5549208
original,0.6663312
original,0.72099197
original,0.40220016
original,0.81329936
original,0.77908444
original,0.9582181
original,0.36251643
original,1.0852637
original,0.54464084
original,0.42761204
original,0.47634143
original,0.6309668
original,0.4746582
original,0.7933937
original,1.3062692
original,0.8579443
original,0.4876157
original,0.841793
original,0.7639913
original,1.092463
original,0.44367102
original,0.68508273
original,0.41888213
original,0.6406757
original,0.6018428
original,0.5283533
original,0.367691
original,1.301235
original,0.724575
original,0.66867787
original,0.7823058
original,0.44793728
original,1.150265
original,0.8035966
original,0.53062296
original,0.4906447
original,1.342665
original,0.9838788
original,0.84982586
original,0.66720253
original,0.50983673
original,1.1269379
original,0.6764283
original,0.48604065
original,0.82290053
original,0.6539398
original,0.8526965
original,0.84753925
original,0.7295582
original,0.7103898
original,0.5278011
original,0.747723
original,0.5517812
original,0.6183669
original,0.63547754
original,0.74877
original,0.841892
original,0.560926
original,1.5222563
original,0.73294026
original,0.41898358
original,0.2771125
original,0.4336346
original,0.39602908
original,0.37462854
original,0.40377554
original,0.862011
original,0.6729679
original,0.6905156
original,0.53873837
original,0.5963334
original,0.44319695
original,0.5040972
original,0.738072
original,0.6662853
original,0.8566982
original,0.9422747
original,0.8198085
original,0.6577914
original,0.7181306
original,0.75646454
original,0.9219787
original,0.36552346
original,0.44533873
original,0.4611326
original,0.40693578
original,0.9689087
original,1.1634662
original,0.67518085
original,0.9997403
original,1.002927
original,0.77191424
original,0.52295184
original,0.6709494
original,0.7007529
original,0.92947245
original,0.88436663
original,1.0298014
original,0.8120176
original,0.5027834
original,0.6767777
original,0.4079052
original,0.9937787
original,0.71080446
original,0.6131333
original,0.9023973
original,0.9863086
original,0.9053875
original,0.6323847
original,0.49212423
original,0.84907186
original,1.0429951
original,0.656166
original,0.33623794
original,0.3858874
original,0.88736886
original,1.0267389
original,0.6697069
original,0.46445248
original,0.8102145
original,0.5068391
original,0.5828327
original,0.40174162
original,0.65267164
original,0.89164776
original,1.0133222
original,0.48487592
original,0.8301634
original,1.3360391
original,1.4047694
original,0.5526464
original,0.42204314
original,0.87156934
original,0.52157533
original,1.1048018
original,0.5243253
original,0.77127665
original,0.6196169
original,0.65481484
original,0.8839223
original,0.9393895
original,0.7037004
original,1.1126409
original,0.9852859
original,1.0665019
original,1.157497
original,0.65067583
original,0.46903902
original,0.5033621
original,0.51860714
original,0.6292354
original,0.72882247
original,0.7809304
original,1.0596805
original,0.6185758
original,0.9333646
original,0.36980665
original,0.4790604
original,0.9145866
original,0.64623237
original,0.6893496
original,0.9392687
distilled,0.54437387
distilled,0.8351624
distilled,0.88044244
distilled,0.38136587
distilled,0.72246706
distilled,0.70845354
distilled,0.42883378
distilled,0.4284553
distilled,0.56654966
distilled,0.7645862
distilled,0.89071375
distilled,0.5913887
